datetime,open,high,low,close,volume
2025-10-26 19:00:00+00:00,0.08697,0.08697,0.08678,0.08678,562.6
2025-10-26 20:00:00+00:00,0.08694,0.08706,0.08606,0.08624,14967.3
2025-10-26 21:00:00+00:00,0.08595,0.08595,0.0855,0.08583,13234.6
2025-10-26 22:00:00+00:00,0.08615,0.08699,0.08615,0.08699,12974.9
2025-10-26 23:00:00+00:00,0.0872,0.08751,0.0869,0.08691,13515.9
2025-10-27 00:00:00+00:00,0.08766,0.08784,0.08734,0.08751,9916.7
2025-10-27 01:00:00+00:00,0.08799,0.088,0.08799,0.088,1140.0
2025-10-27 02:00:00+00:00,0.08821,0.08823,0.08798,0.08819,5430.0
2025-10-27 03:00:00+00:00,0.0882,0.08841,0.0882,0.08841,3390.0
2025-10-27 04:00:00+00:00,0.08779,0.08779,0.08779,0.08779,500.0
2025-10-27 05:00:00+00:00,0.08779,0.08779,0.08779,0.08779,0.0
2025-10-27 06:00:00+00:00,0.08726,0.08769,0.08721,0.08764,4478.1
2025-10-27 07:00:00+00:00,0.08815,0.08889,0.0875,0.08781,17448.7
2025-10-27 08:00:00+00:00,0.08801,0.08801,0.08709,0.08716,11091.5
2025-10-27 09:00:00+00:00,0.0869,0.0869,0.0863,0.0863,1550.6
2025-10-27 10:00:00+00:00,0.08617,0.08619,0.08605,0.08605,651.6
2025-10-27 11:00:00+00:00,0.08647,0.08729,0.08647,0.08729,1108.2
2025-10-27 12:00:00+00:00,0.08735,0.08951,0.08735,0.08864,45833.4
2025-10-27 13:00:00+00:00,0.08811,0.08811,0.08622,0.08752,10560.0
2025-10-27 14:00:00+00:00,0.08639,0.08639,0.08427,0.08427,25558.6
2025-10-27 15:00:00+00:00,0.08514,0.08514,0.08439,0.08484,2442.4
2025-10-27 16:00:00+00:00,0.08494,0.08513,0.08494,0.08513,2350.5
2025-10-27 17:00:00+00:00,0.08596,0.08616,0.08596,0.08606,615.6
2025-10-27 18:00:00+00:00,0.08606,0.08606,0.08606,0.08606,0.0
2025-10-27 19:00:00+00:00,0.08577,0.08577,0.08554,0.08554,2025.0
2025-10-27 20:00:00+00:00,0.08464,0.08464,0.08464,0.08464,7033.2
2025-10-27 21:00:00+00:00,0.0853,0.08554,0.08494,0.08554,11706.9
2025-10-27 22:00:00+00:00,0.08582,0.08608,0.08481,0.08481,11444.5
2025-10-27 23:00:00+00:00,0.08451,0.08516,0.08443,0.08516,3221.3
2025-10-28 00:00:00+00:00,0.08493,0.08527,0.08487,0.08527,4087.1
2025-10-28 01:00:00+00:00,0.08527,0.08532,0.0848,0.0848,8343.3
2025-10-28 02:00:00+00:00,0.08432,0.08534,0.08429,0.08515,8760.0
2025-10-28 03:00:00+00:00,0.08565,0.08565,0.08506,0.08523,7302.3
2025-10-28 04:00:00+00:00,0.08565,0.08625,0.08557,0.08625,35857.7
2025-10-28 05:00:00+00:00,0.08493,0.08507,0.08493,0.08507,1410.0
2025-10-28 06:00:00+00:00,0.08519,0.08567,0.08519,0.08567,1417.8
2025-10-28 07:00:00+00:00,0.08518,0.08537,0.08518,0.08537,309.7
2025-10-28 08:00:00+00:00,0.08526,0.08607,0.08526,0.08607,10508.2
2025-10-28 09:00:00+00:00,0.08607,0.08607,0.08607,0.08607,0.0
2025-10-28 10:00:00+00:00,0.0853,0.0853,0.0853,0.0853,377.1
