timestamp,open,high,low,close,volume,datetime
1776293100000,1.7702,1.7712,1.7665,1.7671,62428.6468,2026-04-15 22:45:00
1776294000000,1.7671,1.7692,1.7656,1.7659,55595.7648,2026-04-15 23:00:00
1776294900000,1.766,1.7682,1.7628,1.7667,53987.6254,2026-04-15 23:15:00
1776295800000,1.768,1.7694,1.7638,1.765,56353.1747,2026-04-15 23:30:00
1776296700000,1.7653,1.7688,1.7644,1.7678,68221.0778,2026-04-15 23:45:00
1776297600000,1.7687,1.7696,1.7601,1.7602,39454.8158,2026-04-16 00:00:00
1776298500000,1.7615,1.7667,1.7567,1.7591,65074.87,2026-04-16 00:15:00
1776299400000,1.7595,1.766,1.7591,1.7642,70632.1714,2026-04-16 00:30:00
1776300300000,1.7639,1.7678,1.763,1.7661,37499.3654,2026-04-16 00:45:00
1776301200000,1.7668,1.7681,1.7603,1.7633,68485.5511,2026-04-16 01:00:00
1776302100000,1.763,1.765,1.7592,1.7607,70434.7364,2026-04-16 01:15:00
1776303000000,1.7607,1.766,1.76,1.7649,69112.9073,2026-04-16 01:30:00
1776303900000,1.7657,1.7676,1.7649,1.7659,68456.9602,2026-04-16 01:45:00
1776304800000,1.7669,1.7747,1.7669,1.7747,5516.4711,2026-04-16 02:00:00
1776305700000,1.7742,1.7754,1.7711,1.7738,60735.3,2026-04-16 02:15:00
1776306600000,1.7739,1.7795,1.7732,1.7788,67052.4136,2026-04-16 02:30:00
1776307500000,1.7794,1.7799,1.77,1.7722,63593.8958,2026-04-16 02:45:00
1776308400000,1.7722,1.78,1.7722,1.778,74883.9917,2026-04-16 03:00:00
1776309300000,1.7773,1.7815,1.7765,1.7798,66020.0043,2026-04-16 03:15:00
1776310200000,1.78,1.7846,1.7745,1.7839,72214.3252,2026-04-16 03:30:00
1776311100000,1.7834,1.7892,1.7833,1.7891,74647.6699,2026-04-16 03:45:00
1776312000000,1.789,1.7924,1.7859,1.7911,45604.3752,2026-04-16 04:00:00
1776312900000,1.7914,1.796,1.7902,1.7947,55157.9443,2026-04-16 04:15:00
1776313800000,1.795,1.7999,1.7917,1.7996,54512.2506,2026-04-16 04:30:00
1776314700000,1.7985,1.7998,1.7943,1.7974,57237.088,2026-04-16 04:45:00
1776315600000,1.7976,1.7976,1.7885,1.7907,58865.4144,2026-04-16 05:00:00
1776316500000,1.7908,1.7985,1.7888,1.7958,43435.5542,2026-04-16 05:15:00
1776317400000,1.7959,1.7999,1.7942,1.7955,21150.1219,2026-04-16 05:30:00
1776318300000,1.7965,1.8039,1.7955,1.7965,83653.3151,2026-04-16 05:45:00
1776319200000,1.796,1.8023,1.796,1.7984,61271.6542,2026-04-16 06:00:00
1776320100000,1.7985,1.801,1.7955,1.797,43748.042,2026-04-16 06:15:00
1776321000000,1.7987,1.8019,1.7939,1.7962,70278.091,2026-04-16 06:30:00
1776321900000,1.7953,1.802,1.7953,1.801,64072.5455,2026-04-16 06:45:00
1776322800000,1.8017,1.8032,1.7967,1.8023,71588.3707,2026-04-16 07:00:00
1776323700000,1.8003,1.8086,1.8003,1.8055,59779.353,2026-04-16 07:15:00
1776324600000,1.807,1.8073,1.8021,1.8039,25515.5629,2026-04-16 07:30:00
1776325500000,1.8048,1.8072,1.798,1.8,74603.7884,2026-04-16 07:45:00
1776326400000,1.7994,1.8029,1.7961,1.7973,66776.0745,2026-04-16 08:00:00
1776327300000,1.7973,1.7995,1.795,1.7972,65030.5342,2026-04-16 08:15:00
1776328200000,1.7971,1.7994,1.7942,1.7962,69434.7912,2026-04-16 08:30:00
1776329100000,1.7968,1.8,1.7958,1.7972,74757.8721,2026-04-16 08:45:00
1776330000000,1.7969,1.8,1.7942,1.8,60658.7902,2026-04-16 09:00:00
1776330900000,1.8008,1.8038,1.7983,1.7989,70858.6736,2026-04-16 09:15:00
1776331800000,1.798,1.8007,1.7921,1.7925,70597.9062,2026-04-16 09:30:00
1776332700000,1.7928,1.7959,1.7925,1.7939,32827.9537,2026-04-16 09:45:00
1776333600000,1.7936,1.7952,1.7899,1.7916,29942.076,2026-04-16 10:00:00
1776334500000,1.7913,1.7956,1.7866,1.7955,63135.5456,2026-04-16 10:15:00
1776335400000,1.795,1.8021,1.7902,1.7921,102147.0211,2026-04-16 10:30:00
1776336300000,1.7916,1.7922,1.7851,1.7852,71176.1037,2026-04-16 10:45:00
1776337200000,1.7855,1.7882,1.7831,1.7853,64924.5511,2026-04-16 11:00:00
1776338100000,1.7853,1.7885,1.7848,1.7868,58906.3337,2026-04-16 11:15:00
1776339000000,1.7875,1.7911,1.7822,1.7867,72128.1708,2026-04-16 11:30:00
1776339900000,1.7854,1.7892,1.7853,1.7881,25226.8822,2026-04-16 11:45:00
1776340800000,1.7881,1.8012,1.7881,1.7992,67081.1833,2026-04-16 12:00:00
1776341700000,1.7999,1.7999,1.7963,1.7973,62302.6379,2026-04-16 12:15:00
1776342600000,1.7971,1.7991,1.792,1.7966,78001.3026,2026-04-16 12:30:00
1776343500000,1.7976,1.7976,1.7947,1.7971,54243.7611,2026-04-16 12:45:00
1776344400000,1.7972,1.8146,1.7961,1.8142,72184.8916,2026-04-16 13:00:00
1776345300000,1.814,1.82,1.8115,1.8169,73855.5375,2026-04-16 13:15:00
1776346200000,1.8173,1.8237,1.8135,1.8235,78915.9558,2026-04-16 13:30:00
1776347100000,1.8234,1.8236,1.7935,1.8035,88219.9535,2026-04-16 13:45:00
1776348000000,1.8052,1.8052,1.7945,1.7957,84254.023,2026-04-16 14:00:00
1776348900000,1.797,1.7977,1.7805,1.7877,73255.0397,2026-04-16 14:15:00
1776349800000,1.7878,1.7929,1.7852,1.7866,77433.4748,2026-04-16 14:30:00
1776350700000,1.7867,1.7929,1.7849,1.7862,76255.5673,2026-04-16 14:45:00
1776351600000,1.7868,1.8018,1.7851,1.7945,61341.4129,2026-04-16 15:00:00
1776352500000,1.7947,1.7974,1.7802,1.7806,36759.8267,2026-04-16 15:15:00
1776353400000,1.7817,1.7921,1.7744,1.7758,85943.7478,2026-04-16 15:30:00
1776354300000,1.7757,1.7819,1.7701,1.7703,85440.7662,2026-04-16 15:45:00
