timestamp,open,high,low,close,volume,datetime
1776293100000,9.3008,9.3074,9.2715,9.2737,4087.4252,2026-04-15 22:45:00
1776294000000,9.2704,9.2704,9.2384,9.2419,9798.4026,2026-04-15 23:00:00
1776294900000,9.2433,9.2433,9.22,9.2423,4161.3083,2026-04-15 23:15:00
1776295800000,9.2413,9.248,9.2215,9.2343,7562.2445,2026-04-15 23:30:00
1776296700000,9.2368,9.2665,9.2367,9.2581,4989.9659,2026-04-15 23:45:00
1776297600000,9.2631,9.2709,9.2304,9.2304,8494.4882,2026-04-16 00:00:00
1776298500000,9.2311,9.2441,9.2121,9.228,6389.2846,2026-04-16 00:15:00
1776299400000,9.2316,9.2637,9.2307,9.2539,8205.5481,2026-04-16 00:30:00
1776300300000,9.2528,9.2643,9.2425,9.2643,4401.604,2026-04-16 00:45:00
1776301200000,9.2615,9.2615,9.2063,9.233,7604.0422,2026-04-16 01:00:00
1776302100000,9.2333,9.2581,9.225,9.2304,8924.8301,2026-04-16 01:15:00
1776303000000,9.2279,9.2578,9.2233,9.2544,9845.5526,2026-04-16 01:30:00
1776303900000,9.2536,9.2579,9.2226,9.2413,5340.183,2026-04-16 01:45:00
1776304800000,9.2414,9.2695,9.2414,9.2496,7939.5636,2026-04-16 02:00:00
1776305700000,9.2467,9.2914,9.2413,9.2914,9700.0336,2026-04-16 02:15:00
1776306600000,9.2915,9.3308,9.2915,9.3223,8290.669,2026-04-16 02:30:00
1776307500000,9.3246,9.3308,9.2689,9.2813,13368.1579,2026-04-16 02:45:00
1776308400000,9.2792,9.3087,9.2737,9.2886,11160.8926,2026-04-16 03:00:00
1776309300000,9.2912,9.3138,9.2902,9.2915,8422.0179,2026-04-16 03:15:00
1776310200000,9.2906,9.3,9.2786,9.2943,5877.4939,2026-04-16 03:30:00
1776311100000,9.2936,9.303,9.2737,9.2796,6177.3519,2026-04-16 03:45:00
1776312000000,9.2778,9.3076,9.2692,9.3011,4947.6072,2026-04-16 04:00:00
1776312900000,9.2979,9.3095,9.2979,9.3083,672.1228,2026-04-16 04:15:00
1776313800000,9.3075,9.3445,9.3041,9.3343,1486.6344,2026-04-16 04:30:00
1776314700000,9.3361,9.3369,9.2789,9.3027,9880.357,2026-04-16 04:45:00
1776315600000,9.297,9.3104,9.2868,9.2973,2915.8823,2026-04-16 05:00:00
1776316500000,9.2972,9.3528,9.2972,9.3478,3368.4299,2026-04-16 05:15:00
1776317400000,9.3534,9.3613,9.3139,9.3208,7517.0923,2026-04-16 05:30:00
1776318300000,9.3213,9.3213,9.3012,9.3037,2600.9718,2026-04-16 05:45:00
1776319200000,9.3087,9.3136,9.2986,9.3051,2415.8399,2026-04-16 06:00:00
1776320100000,9.3062,9.3118,9.2951,9.2954,540.6597,2026-04-16 06:15:00
1776321000000,9.2986,9.3035,9.266,9.2736,858.4771,2026-04-16 06:30:00
1776321900000,9.2745,9.2968,9.2685,9.2924,2657.2853,2026-04-16 06:45:00
1776322800000,9.2926,9.2998,9.2563,9.2936,6297.8044,2026-04-16 07:00:00
1776323700000,9.2958,9.3165,9.2935,9.3112,3855.296,2026-04-16 07:15:00
1776324600000,9.3156,9.3268,9.3072,9.324,3824.431,2026-04-16 07:30:00
1776325500000,9.32,9.336,9.2909,9.2977,10268.3668,2026-04-16 07:45:00
1776326400000,9.2944,9.2968,9.2695,9.275,7528.3042,2026-04-16 08:00:00
1776327300000,9.2755,9.3203,9.2738,9.3041,4325.7353,2026-04-16 08:15:00
1776328200000,9.3022,9.3113,9.2872,9.2977,3324.1011,2026-04-16 08:30:00
1776329100000,9.2975,9.315,9.2802,9.2802,2617.7121,2026-04-16 08:45:00
1776330000000,9.2769,9.29,9.2714,9.289,5146.4247,2026-04-16 09:00:00
1776330900000,9.2924,9.3295,9.2924,9.3069,2363.6142,2026-04-16 09:15:00
1776331800000,9.3116,9.3116,9.271,9.271,4561.9856,2026-04-16 09:30:00
1776332700000,9.2729,9.2815,9.2589,9.2589,2806.6099,2026-04-16 09:45:00
1776333600000,9.2588,9.2694,9.2165,9.2356,4365.8557,2026-04-16 10:00:00
1776334500000,9.2354,9.239,9.2136,9.2325,4526.5632,2026-04-16 10:15:00
