datetime,open,high,low,close,volume,timestamp
2025-10-26 08:00:00+00:00,193.86,197.85,193.73,197.74,42642.946,1761465600000
2025-10-26 12:00:00+00:00,197.74,199.88,196.89,199.51,43695.35254931,1761480000000
2025-10-26 16:00:00+00:00,199.51,199.65,198.18,198.87,33340.48798804,1761494400000
2025-10-26 20:00:00+00:00,198.86,202.39,196.89,200.06,50923.86743185,1761508800000
2025-10-27 00:00:00+00:00,200.06,205.02,199.51,204.33,49754.76790635,1761523200000
2025-10-27 04:00:00+00:00,204.33,205.29,202.27,202.49,41705.507,1761537600000
2025-10-27 08:00:00+00:00,202.5,202.54,198.11,200.17,56536.4207,1761552000000
2025-10-27 12:00:00+00:00,200.19,200.57,198.32,200.11,54181.944,1761566400000
2025-10-27 16:00:00+00:00,200.11,203.26,199.82,200.0,68076.53370339,1761580800000
2025-10-27 20:00:00+00:00,200.02,200.22,197.34,198.71,52096.00797814,1761595200000
2025-10-28 00:00:00+00:00,198.7,202.03,198.43,201.26,48095.177,1761609600000
2025-10-28 04:00:00+00:00,201.27,202.98,198.63,202.38,51118.62640297,1761624000000
2025-10-28 08:00:00+00:00,202.36,203.96,199.25,199.76,46112.522,1761638400000
2025-10-28 12:00:00+00:00,199.74,203.04,196.61,198.86,85629.816,1761652800000
2025-10-28 16:00:00+00:00,198.87,201.27,194.45,195.41,85705.42998515,1761667200000
2025-10-28 20:00:00+00:00,195.38,195.38,190.21,194.18,96985.728,1761681600000
2025-10-29 00:00:00+00:00,194.17,195.1,192.74,193.96,36720.55029308,1761696000000
2025-10-29 04:00:00+00:00,193.95,196.03,193.81,195.63,28336.118,1761710400000
2025-10-29 08:00:00+00:00,195.64,199.36,193.81,198.73,46006.91494194,1761724800000
2025-10-29 12:00:00+00:00,198.74,201.68,196.39,196.76,67479.78819139,1761739200000
2025-10-29 16:00:00+00:00,196.78,198.78,189.12,192.78,122996.86591496,1761753600000
2025-10-29 20:00:00+00:00,192.8,197.08,191.94,193.9,54878.786,1761768000000
2025-10-30 00:00:00+00:00,193.91,198.19,192.12,197.12,45755.30799322,1761782400000
2025-10-30 04:00:00+00:00,197.11,197.17,190.38,195.85,81608.55374434,1761796800000
2025-10-30 08:00:00+00:00,195.81,196.12,191.12,191.87,54840.50337024,1761811200000
2025-10-30 12:00:00+00:00,191.86,192.07,184.51,185.05,97785.41795598,1761825600000
2025-10-30 16:00:00+00:00,185.05,186.34,178.69,179.11,80397.26155747,1761840000000
2025-10-30 20:00:00+00:00,179.08,184.72,178.8,184.67,68005.35257873,1761854400000
2025-10-31 00:00:00+00:00,184.7,186.9,183.73,185.16,51033.35895763,1761868800000
2025-10-31 04:00:00+00:00,185.17,187.05,184.79,185.37,40273.1930404,1761883200000
2025-10-31 08:00:00+00:00,185.36,189.19,184.61,188.89,50880.86,1761897600000
2025-10-31 12:00:00+00:00,188.88,190.27,186.0,188.15,75856.33999986,1761912000000
2025-10-31 16:00:00+00:00,188.12,189.03,184.4,188.42,70174.68999964,1761926400000
2025-10-31 20:00:00+00:00,188.37,188.81,186.55,187.21,34871.21280434,1761940800000
