datetime,open,high,low,close,volume,timestamp
2025-10-26 07:00:00+00:00,3.1449,3.1606,3.144,3.1606,764.3783,1761462000000
2025-10-26 08:00:00+00:00,3.1623,3.1861,3.1623,3.1838,5224.2916,1761465600000
2025-10-26 09:00:00+00:00,3.1869,3.2041,3.1752,3.1966,13600.79533401,1761469200000
2025-10-26 10:00:00+00:00,3.1978,3.1978,3.1836,3.1888,3758.8847,1761472800000
2025-10-26 11:00:00+00:00,3.1895,3.22,3.1836,3.22,15993.3483,1761476400000
2025-10-26 12:00:00+00:00,3.2199,3.2246,3.2052,3.2234,11474.9124,1761480000000
2025-10-26 13:00:00+00:00,3.2228,3.2461,3.2193,3.2384,5444.1339,1761483600000
2025-10-26 14:00:00+00:00,3.2353,3.2462,3.2216,3.23,15133.5634,1761487200000
2025-10-26 15:00:00+00:00,3.2274,3.2492,3.2235,3.2492,8400.0921,1761490800000
2025-10-26 16:00:00+00:00,3.2494,3.2572,3.2341,3.2431,4838.2614,1761494400000
2025-10-26 17:00:00+00:00,3.2449,3.2477,3.2384,3.24,1561.4236,1761498000000
2025-10-26 18:00:00+00:00,3.2389,3.2483,3.2306,3.2381,3339.0204,1761501600000
2025-10-26 19:00:00+00:00,3.2381,3.2385,3.2296,3.2375,4452.0418,1761505200000
2025-10-26 20:00:00+00:00,3.2423,3.2427,3.2201,3.2243,3840.0051,1761508800000
2025-10-26 21:00:00+00:00,3.2223,3.2399,3.2158,3.2399,4055.1311,1761512400000
2025-10-26 22:00:00+00:00,3.2375,3.2816,3.2375,3.2701,7035.0308,1761516000000
2025-10-26 23:00:00+00:00,3.2689,3.2725,3.253,3.2561,3026.4278,1761519600000
2025-10-27 00:00:00+00:00,3.2564,3.2642,3.2494,3.2571,917.6611,1761523200000
2025-10-27 01:00:00+00:00,3.2543,3.2787,3.2527,3.2787,932.8863,1761526800000
2025-10-27 02:00:00+00:00,3.2772,3.2773,3.2525,3.2613,2571.3649,1761530400000
2025-10-27 03:00:00+00:00,3.2592,3.2625,3.2448,3.25,13228.329,1761534000000
2025-10-27 04:00:00+00:00,3.2518,3.2616,3.2456,3.2616,3172.7732,1761537600000
2025-10-27 05:00:00+00:00,3.2585,3.2841,3.256,3.2652,8179.3718,1761541200000
2025-10-27 06:00:00+00:00,3.2647,3.2705,3.2535,3.2584,3792.4567,1761544800000
2025-10-27 07:00:00+00:00,3.2591,3.2687,3.2308,3.2469,4353.3795,1761548400000
2025-10-27 08:00:00+00:00,3.2474,3.2652,3.2295,3.247,32007.9947,1761552000000
2025-10-27 09:00:00+00:00,3.2449,3.2462,3.2159,3.2252,8641.6793,1761555600000
2025-10-27 10:00:00+00:00,3.2249,3.2323,3.2155,3.2164,4791.3521,1761559200000
2025-10-27 11:00:00+00:00,3.219,3.2317,3.203,3.2277,5402.2091,1761562800000
2025-10-27 12:00:00+00:00,3.2293,3.231,3.2016,3.2055,3884.7034,1761566400000
2025-10-27 13:00:00+00:00,3.2013,3.2142,3.177,3.2118,6909.4453,1761570000000
2025-10-27 14:00:00+00:00,3.2121,3.2121,3.1839,3.1993,4515.752,1761573600000
2025-10-27 15:00:00+00:00,3.2024,3.2252,3.2013,3.2166,3922.2937,1761577200000
2025-10-27 16:00:00+00:00,3.219,3.25,3.219,3.2485,6013.3705,1761580800000
