datetime,open,high,low,close,volume,timestamp
2025-10-26 07:00:00+00:00,3944.76,3956.59,3941.59,3951.55,2406.7418729,1761462000000
2025-10-26 08:00:00+00:00,3951.55,3967.6,3951.08,3959.55,2947.4313627,1761465600000
2025-10-26 09:00:00+00:00,3959.56,4011.0,3956.28,3987.86,9359.2285316,1761469200000
2025-10-26 10:00:00+00:00,3987.88,3989.68,3974.72,3982.85,5765.32107255,1761472800000
2025-10-26 11:00:00+00:00,3982.85,4054.72,3976.13,4044.25,13594.2744213,1761476400000
2025-10-26 12:00:00+00:00,4044.28,4077.68,4040.21,4072.58,12780.32057419,1761480000000
2025-10-26 13:00:00+00:00,4072.67,4099.29,4062.41,4083.32,10391.1377248,1761483600000
2025-10-26 14:00:00+00:00,4083.34,4090.65,4063.08,4067.05,8574.4966414,1761487200000
2025-10-26 15:00:00+00:00,4067.04,4077.0,4058.88,4075.05,5585.2040576,1761490800000
2025-10-26 16:00:00+00:00,4075.06,4075.51,4046.35,4055.43,6962.9564421,1761494400000
2025-10-26 17:00:00+00:00,4055.44,4068.53,4053.17,4059.17,5168.7065735,1761498000000
2025-10-26 18:00:00+00:00,4059.34,4080.85,4058.03,4072.24,3293.8795092,1761501600000
2025-10-26 19:00:00+00:00,4072.24,4072.54,4064.41,4067.89,1953.9140462,1761505200000
2025-10-26 20:00:00+00:00,4067.89,4073.06,4052.78,4061.85,2471.51532633,1761508800000
2025-10-26 21:00:00+00:00,4061.86,4095.54,4055.47,4080.33,5944.1788261,1761512400000
2025-10-26 22:00:00+00:00,4080.37,4177.42,4080.37,4160.44,14254.4267849,1761516000000
2025-10-26 23:00:00+00:00,4160.45,4178.77,4148.71,4158.53,9215.0972303,1761519600000
2025-10-27 00:00:00+00:00,4158.47,4189.45,4148.75,4170.19,10153.6957836,1761523200000
2025-10-27 01:00:00+00:00,4170.2,4208.42,4167.45,4191.81,8774.1598719,1761526800000
2025-10-27 02:00:00+00:00,4191.81,4217.7,4184.0,4205.21,8636.956916,1761530400000
2025-10-27 03:00:00+00:00,4205.21,4225.49,4200.48,4204.74,7018.9580522,1761534000000
2025-10-27 04:00:00+00:00,4204.78,4217.57,4195.08,4212.44,5216.4414281,1761537600000
2025-10-27 05:00:00+00:00,4212.66,4252.97,4210.36,4233.22,8236.2985381,1761541200000
2025-10-27 06:00:00+00:00,4233.22,4244.97,4222.37,4235.19,7381.2664229,1761544800000
2025-10-27 07:00:00+00:00,4235.18,4247.56,4196.05,4201.11,8021.6858165,1761548400000
2025-10-27 08:00:00+00:00,4201.11,4201.12,4156.16,4166.48,8766.94480953,1761552000000
2025-10-27 09:00:00+00:00,4166.49,4173.07,4154.26,4159.87,9498.5769227,1761555600000
2025-10-27 10:00:00+00:00,4159.87,4174.55,4154.69,4166.93,6712.7186924,1761559200000
2025-10-27 11:00:00+00:00,4166.93,4175.53,4133.0,4162.25,8612.9595715,1761562800000
2025-10-27 12:00:00+00:00,4162.25,4166.82,4138.24,4145.32,7723.504868,1761566400000
2025-10-27 13:00:00+00:00,4145.32,4187.66,4127.51,4177.65,12456.392661,1761570000000
2025-10-27 14:00:00+00:00,4177.66,4183.19,4124.22,4148.62,12251.72455,1761573600000
2025-10-27 15:00:00+00:00,4148.55,4175.87,4147.59,4172.82,10266.5213038,1761577200000
2025-10-27 16:00:00+00:00,4172.84,4218.65,4172.84,4214.5,9801.606253,1761580800000
2025-10-27 17:00:00+00:00,4214.5,4225.46,4199.5,4220.23,8093.4691832,1761584400000
2025-10-27 18:00:00+00:00,4220.81,4233.35,4207.12,4215.06,7443.7854101,1761588000000
2025-10-27 19:00:00+00:00,4215.07,4220.8,4185.62,4193.53,9236.15716451,1761591600000
2025-10-27 20:00:00+00:00,4193.64,4195.34,4128.79,4128.79,11128.06122984,1761595200000
2025-10-27 21:00:00+00:00,4128.8,4139.28,4094.2,4116.1,8947.0546508,1761598800000
2025-10-27 22:00:00+00:00,4116.41,4144.59,4110.45,4122.72,7573.87518426,1761602400000
2025-10-27 23:00:00+00:00,4122.73,4127.81,4103.16,4120.6,7500.5597224,1761606000000
2025-10-28 00:00:00+00:00,4120.39,4133.6,4107.23,4115.2,7424.00727393,1761609600000
2025-10-28 01:00:00+00:00,4115.22,4142.18,4115.22,4136.36,7280.6005184,1761613200000
2025-10-28 02:00:00+00:00,4136.38,4141.78,4074.67,4095.75,8950.3352771,1761616800000
2025-10-28 03:00:00+00:00,4095.75,4100.86,4069.05,4093.92,8720.689185,1761620400000
2025-10-28 04:00:00+00:00,4094.21,4106.45,4088.14,4099.93,5712.6894,1761624000000
2025-10-28 05:00:00+00:00,4099.93,4103.95,4066.36,4067.92,7850.118815,1761627600000
2025-10-28 06:00:00+00:00,4067.94,4114.63,4067.94,4112.81,7614.401525,1761631200000
2025-10-28 07:00:00+00:00,4112.81,4126.8,4110.39,4117.24,7016.1649136,1761634800000
2025-10-28 08:00:00+00:00,4117.24,4136.12,4110.81,4123.78,5766.3886068,1761638400000
2025-10-28 09:00:00+00:00,4123.79,4129.41,4104.74,4123.04,5911.9492131,1761642000000
2025-10-28 10:00:00+00:00,4123.05,4124.91,4109.19,4118.08,4672.7805538,1761645600000
2025-10-28 11:00:00+00:00,4118.2,4127.25,4109.04,4112.59,5834.4400074,1761649200000
2025-10-28 12:00:00+00:00,4112.58,4125.9,4097.64,4121.75,6823.11683545,1761652800000
2025-10-28 13:00:00+00:00,4121.91,4167.23,4121.91,4158.44,12255.4192106,1761656400000
2025-10-28 14:00:00+00:00,4158.58,4175.34,4072.0,4119.45,15986.9626539,1761660000000
2025-10-28 15:00:00+00:00,4119.47,4141.6,4087.28,4096.68,12067.34876259,1761663600000
2025-10-28 16:00:00+00:00,4096.87,4140.68,4092.84,4135.0,12156.5450893,1761667200000
2025-10-28 17:00:00+00:00,4135.0,4147.36,4121.87,4140.13,7694.2470925,1761670800000
2025-10-28 18:00:00+00:00,4140.14,4151.32,4104.06,4114.53,8872.71748086,1761674400000
2025-10-28 19:00:00+00:00,4114.53,4117.96,4026.71,4039.71,14346.603468,1761678000000
2025-10-28 20:00:00+00:00,4039.31,4042.32,3960.01,3979.73,19808.56015324,1761681600000
2025-10-28 21:00:00+00:00,3979.57,3991.95,3931.88,3982.53,12603.5854004,1761685200000
2025-10-28 22:00:00+00:00,3982.39,3999.81,3973.01,3995.01,8187.3935016,1761688800000
2025-10-28 23:00:00+00:00,3995.01,3996.58,3977.23,3979.72,6697.3659176,1761692400000
2025-10-29 00:00:00+00:00,3979.72,3992.92,3970.1,3973.31,7995.982287,1761696000000
2025-10-29 01:00:00+00:00,3973.29,4008.78,3964.77,3982.84,8408.3530861,1761699600000
2025-10-29 02:00:00+00:00,3982.7,4005.09,3981.19,4003.42,6123.3039624,1761703200000
2025-10-29 03:00:00+00:00,4003.4,4003.4,3986.52,3997.82,6189.6445317,1761706800000
2025-10-29 04:00:00+00:00,3997.85,4020.19,3996.41,4013.78,6246.5679722,1761710400000
2025-10-29 05:00:00+00:00,4013.72,4035.81,4012.91,4027.37,6021.0485441,1761714000000
2025-10-29 06:00:00+00:00,4027.36,4037.28,4017.13,4024.39,6025.5881937,1761717600000
2025-10-29 07:00:00+00:00,4024.46,4031.45,4012.42,4024.58,6384.3337561,1761721200000
2025-10-29 08:00:00+00:00,4024.58,4026.78,4003.99,4007.85,6799.82972092,1761724800000
2025-10-29 09:00:00+00:00,4007.69,4009.68,3985.89,3997.72,5949.9227548,1761728400000
2025-10-29 10:00:00+00:00,3997.72,4004.28,3988.46,3989.01,6875.7426775,1761732000000
2025-10-29 11:00:00+00:00,3989.05,4015.72,3983.94,4011.13,6742.9516056,1761735600000
2025-10-29 12:00:00+00:00,4011.13,4019.88,4004.18,4015.93,5942.6561275,1761739200000
2025-10-29 13:00:00+00:00,4015.95,4029.54,3983.49,3995.28,11557.22345864,1761742800000
2025-10-29 14:00:00+00:00,3995.27,3999.77,3973.59,3988.79,10435.376843,1761746400000
2025-10-29 15:00:00+00:00,3988.61,3994.54,3941.88,3951.69,13615.98078718,1761750000000
2025-10-29 16:00:00+00:00,3951.7,3977.15,3926.27,3962.32,12305.9209813,1761753600000
2025-10-29 17:00:00+00:00,3962.31,4015.98,3959.7,4014.44,10321.02503022,1761757200000
