timestamp,open,high,low,close,volume
2023-11-09 14:00:00,7.492,7.6662,7.438,7.65,26488.4199
2023-11-09 15:00:00,7.6396,7.7367,7.3826,7.3968,39652.4017
2023-11-09 16:00:00,7.4024,7.4459,6.26,7.0097,85053.7908
2023-11-09 17:00:00,7.0094,7.0841,6.9159,7.0716,15360.28760804
2023-11-09 18:00:00,7.0699,7.07,6.8235,6.8962,12084.0651
2023-11-09 19:00:00,6.8907,6.9578,6.8566,6.957,15280.4764
2023-11-09 20:00:00,6.9507,6.9771,6.826,6.9594,7670.0653
2023-11-09 21:00:00,6.96,7.0858,6.9567,7.0764,5150.6154
2023-11-09 22:00:00,7.0776,7.2315,7.0731,7.2139,5851.7449
2023-11-09 23:00:00,7.2082,7.35,7.18,7.2921,8046.5188
2023-11-10 00:00:00,7.2905,7.5653,7.2676,7.3701,30280.5933
2023-11-10 01:00:00,7.3591,7.5184,7.3351,7.4944,11317.3623
2023-11-10 02:00:00,7.4875,7.5482,7.4272,7.5362,8404.9679
2023-11-10 03:00:00,7.5396,7.5907,7.4287,7.4383,9467.6067
2023-11-10 04:00:00,7.4467,7.5465,7.4377,7.5115,6266.2277
2023-11-10 05:00:00,7.5171,7.5225,7.4261,7.494,6440.7299
2023-11-10 06:00:00,7.4904,7.4904,7.4008,7.4552,4130.8125
2023-11-10 07:00:00,7.458,7.4627,7.325,7.3703,12677.9126
2023-11-10 08:00:00,7.3766,7.4084,7.2256,7.3532,12069.7555
2023-11-10 09:00:00,7.3538,7.44,7.3338,7.4329,7755.9765
2023-11-10 10:00:00,7.4346,7.4376,7.3459,7.4095,6946.8556
2023-11-10 11:00:00,7.4123,7.4627,7.3769,7.4381,7191.4712
2023-11-10 12:00:00,7.4418,7.4488,7.281,7.3748,12035.9422
2023-11-10 13:00:00,7.3629,7.3786,7.1423,7.1542,10577.308
2023-11-10 14:00:00,7.1753,7.2102,7.0624,7.125,13843.7157
2023-11-10 15:00:00,7.1201,7.209,7.1062,7.1666,10215.6447
2023-11-10 16:00:00,7.1589,7.2527,7.1589,7.2466,5302.5239
2023-11-10 17:00:00,7.2394,7.3015,7.2283,7.2909,8960.7507
