==========================================================================================
MULTI-TIMEFRAME RESEARCH RESULTS - KuCoin Spot
Test Period: 90 days | Pairs: 36 | Max Hold: 72 bars
Generated: 2026-04-24 09:48:21
==========================================================================================

------------------------------------------------------------------------------------------
PER-PAIR RESULTS
------------------------------------------------------------------------------------------

BTC/USDT:
  E/stop_2 tp_7_wBias: count=49, WR=14.3%, Exp=0.551, AvgHold=39.7bars, TP%=14.3%
  E/stop_atr tp_3: count=49, WR=28.6%, Exp=0.256, AvgHold=13.7bars, TP%=28.6%
  E/stop_atr tp_3_wBias: count=49, WR=28.6%, Exp=0.256, AvgHold=13.7bars, TP%=28.6%
  E/stop_atr tp_5: count=49, WR=22.4%, Exp=0.471, AvgHold=18.0bars, TP%=22.4%
  E/stop_atr tp_5_wBias: count=49, WR=22.4%, Exp=0.471, AvgHold=18.0bars, TP%=22.4%
  E/stop_atr tp_7: count=49, WR=14.3%, Exp=0.645, AvgHold=23.5bars, TP%=14.3%
  E/stop_atr tp_7_wBias: count=49, WR=14.3%, Exp=0.645, AvgHold=23.5bars, TP%=14.3%

ETH/USDT:
  A/stop_2 tp_3: count=18, WR=44.4%, Exp=0.222, AvgHold=26.7bars, TP%=44.4%
  A/stop_2 tp_3_wBias: count=18, WR=44.4%, Exp=0.222, AvgHold=26.7bars, TP%=44.4%
  A/stop_2 tp_5: count=18, WR=22.2%, Exp=-0.444, AvgHold=29.3bars, TP%=22.2%
  A/stop_2 tp_5_wBias: count=18, WR=22.2%, Exp=-0.444, AvgHold=29.3bars, TP%=22.2%
  A/stop_2 tp_7: count=18, WR=16.7%, Exp=-0.204, AvgHold=32.9bars, TP%=16.7%
  A/stop_2 tp_7_wBias: count=18, WR=16.7%, Exp=-0.204, AvgHold=32.9bars, TP%=16.7%
  A/stop_atr tp_3: count=18, WR=27.8%, Exp=-0.266, AvgHold=21.1bars, TP%=27.8%
  A/stop_atr tp_3_wBias: count=18, WR=27.8%, Exp=-0.266, AvgHold=21.1bars, TP%=27.8%
  A/stop_atr tp_5: count=18, WR=22.2%, Exp=-0.08, AvgHold=22.9bars, TP%=22.2%
  A/stop_atr tp_5_wBias: count=18, WR=22.2%, Exp=-0.08, AvgHold=22.9bars, TP%=22.2%
  A/stop_atr tp_7: count=18, WR=16.7%, Exp=0.16, AvgHold=26.4bars, TP%=16.7%
  A/stop_atr tp_7_wBias: count=18, WR=16.7%, Exp=0.16, AvgHold=26.4bars, TP%=16.7%
  B/stop_2 tp_3: count=4, WR=50.0%, Exp=0.5, AvgHold=16.2bars, TP%=50.0%
  B/stop_2 tp_3_wBias: count=4, WR=50.0%, Exp=0.5, AvgHold=16.2bars, TP%=50.0%
  B/stop_2 tp_5: count=4, WR=25.0%, Exp=-0.25, AvgHold=21.0bars, TP%=25.0%
  B/stop_2 tp_5_wBias: count=4, WR=25.0%, Exp=-0.25, AvgHold=21.0bars, TP%=25.0%
  B/stop_2 tp_7: count=4, WR=25.0%, Exp=0.25, AvgHold=21.0bars, TP%=25.0%
  B/stop_2 tp_7_wBias: count=4, WR=25.0%, Exp=0.25, AvgHold=21.0bars, TP%=25.0%
  B/stop_atr tp_3: count=4, WR=50.0%, Exp=0.957, AvgHold=13.2bars, TP%=50.0%
  B/stop_atr tp_3_wBias: count=4, WR=50.0%, Exp=0.957, AvgHold=13.2bars, TP%=50.0%
  B/stop_atr tp_5: count=4, WR=25.0%, Exp=0.386, AvgHold=18.0bars, TP%=25.0%
  B/stop_atr tp_5_wBias: count=4, WR=25.0%, Exp=0.386, AvgHold=18.0bars, TP%=25.0%
  B/stop_atr tp_7: count=4, WR=25.0%, Exp=0.886, AvgHold=18.0bars, TP%=25.0%
  B/stop_atr tp_7_wBias: count=4, WR=25.0%, Exp=0.886, AvgHold=18.0bars, TP%=25.0%
  C/stop_2 tp_3: count=13, WR=53.8%, Exp=0.692, AvgHold=28.8bars, TP%=53.8%
  C/stop_2 tp_3_wBias: count=13, WR=53.8%, Exp=0.692, AvgHold=28.8bars, TP%=53.8%
  C/stop_2 tp_5: count=13, WR=23.1%, Exp=-0.385, AvgHold=32.0bars, TP%=23.1%
  C/stop_2 tp_5_wBias: count=13, WR=23.1%, Exp=-0.385, AvgHold=32.0bars, TP%=23.1%
  C/stop_2 tp_7: count=13, WR=23.1%, Exp=0.077, AvgHold=32.2bars, TP%=23.1%
  C/stop_2 tp_7_wBias: count=13, WR=23.1%, Exp=0.077, AvgHold=32.2bars, TP%=23.1%
  C/stop_atr tp_3: count=13, WR=30.8%, Exp=-0.0, AvgHold=19.2bars, TP%=30.8%
  C/stop_atr tp_3_wBias: count=13, WR=30.8%, Exp=-0.0, AvgHold=19.2bars, TP%=30.8%
  C/stop_atr tp_5: count=13, WR=23.1%, Exp=0.103, AvgHold=21.2bars, TP%=23.1%
  C/stop_atr tp_5_wBias: count=13, WR=23.1%, Exp=0.103, AvgHold=21.2bars, TP%=23.1%
  C/stop_atr tp_7: count=13, WR=23.1%, Exp=0.564, AvgHold=21.4bars, TP%=23.1%
  C/stop_atr tp_7_wBias: count=13, WR=23.1%, Exp=0.564, AvgHold=21.4bars, TP%=23.1%
  D/stop_2 tp_3: count=2, WR=50.0%, Exp=0.5, AvgHold=9.0bars, TP%=50.0%
  D/stop_2 tp_3_wBias: count=2, WR=50.0%, Exp=0.5, AvgHold=9.0bars, TP%=50.0%
  D/stop_2 tp_5: count=2, WR=50.0%, Exp=1.5, AvgHold=9.5bars, TP%=50.0%
  D/stop_2 tp_5_wBias: count=2, WR=50.0%, Exp=1.5, AvgHold=9.5bars, TP%=50.0%
  D/stop_2 tp_7: count=2, WR=50.0%, Exp=2.5, AvgHold=9.5bars, TP%=50.0%
  D/stop_2 tp_7_wBias: count=2, WR=50.0%, Exp=2.5, AvgHold=9.5bars, TP%=50.0%
  D/stop_atr tp_3: count=2, WR=50.0%, Exp=0.841, AvgHold=9.0bars, TP%=50.0%
  D/stop_atr tp_3_wBias: count=2, WR=50.0%, Exp=0.841, AvgHold=9.0bars, TP%=50.0%
  D/stop_atr tp_5: count=2, WR=50.0%, Exp=1.841, AvgHold=9.5bars, TP%=50.0%
  D/stop_atr tp_5_wBias: count=2, WR=50.0%, Exp=1.841, AvgHold=9.5bars, TP%=50.0%
  D/stop_atr tp_7: count=2, WR=50.0%, Exp=2.841, AvgHold=9.5bars, TP%=50.0%
  D/stop_atr tp_7_wBias: count=2, WR=50.0%, Exp=2.841, AvgHold=9.5bars, TP%=50.0%
  E/stop_2 tp_3: count=32, WR=37.5%, Exp=0.038, AvgHold=19.8bars, TP%=37.5%
  E/stop_2 tp_3_wBias: count=32, WR=37.5%, Exp=0.038, AvgHold=19.8bars, TP%=37.5%
  E/stop_2 tp_5: count=32, WR=34.4%, Exp=0.569, AvgHold=23.3bars, TP%=34.4%
  E/stop_2 tp_5_wBias: count=32, WR=34.4%, Exp=0.569, AvgHold=23.3bars, TP%=34.4%
  E/stop_2 tp_7: count=32, WR=28.1%, Exp=0.933, AvgHold=26.0bars, TP%=28.1%
  E/stop_2 tp_7_wBias: count=32, WR=28.1%, Exp=0.933, AvgHold=26.0bars, TP%=28.1%
  E/stop_atr tp_3: count=32, WR=34.4%, Exp=0.311, AvgHold=14.2bars, TP%=34.4%
  E/stop_atr tp_3_wBias: count=32, WR=34.4%, Exp=0.311, AvgHold=14.2bars, TP%=34.4%
  E/stop_atr tp_5: count=32, WR=31.2%, Exp=0.805, AvgHold=17.7bars, TP%=31.2%
  E/stop_atr tp_5_wBias: count=32, WR=31.2%, Exp=0.805, AvgHold=17.7bars, TP%=31.2%
  E/stop_atr tp_7: count=32, WR=25.0%, Exp=1.106, AvgHold=20.3bars, TP%=25.0%
  E/stop_atr tp_7_wBias: count=32, WR=25.0%, Exp=1.106, AvgHold=20.3bars, TP%=25.0%

SOL/USDT:
  A/stop_2 tp_3: count=18, WR=44.4%, Exp=0.222, AvgHold=22.9bars, TP%=44.4%
  A/stop_2 tp_3_wBias: count=18, WR=44.4%, Exp=0.222, AvgHold=22.9bars, TP%=44.4%
  A/stop_2 tp_5: count=18, WR=22.2%, Exp=-0.444, AvgHold=23.9bars, TP%=22.2%
  A/stop_2 tp_5_wBias: count=18, WR=22.2%, Exp=-0.444, AvgHold=23.9bars, TP%=22.2%
  A/stop_2 tp_7: count=18, WR=11.1%, Exp=-0.613, AvgHold=30.3bars, TP%=11.1%
  A/stop_2 tp_7_wBias: count=18, WR=11.1%, Exp=-0.613, AvgHold=30.3bars, TP%=11.1%
  A/stop_atr tp_3: count=18, WR=33.3%, Exp=-0.113, AvgHold=20.6bars, TP%=33.3%
