timestamp,open,high,low,close,volume
2023-11-10,5.121,5.3746,5.0608,5.283,219252.1239
2023-11-11,5.2829,5.5341,5.1555,5.3938,181454.8638
2023-11-12,5.3962,5.5204,5.2065,5.4193,203036.2898
2023-11-13,5.4151,5.6256,5.2,5.2222,146407.2025
2023-11-14,5.223,5.3054,4.8356,5.0574,128562.8266
2023-11-15,5.0557,5.3866,5.055,5.3849,99341.7546
2023-11-16,5.3872,5.5899,5.1028,5.1911,135959.9884
2023-11-17,5.1959,5.3976,4.8501,5.1068,102741.8032
2023-11-18,5.108,5.1684,4.812,5.0646,78071.1536
2023-11-19,5.0647,5.2466,4.9454,5.2357,47691.7751
2023-11-20,5.2419,5.3588,5.1012,5.185,83039.9331
2023-11-21,5.187,5.2676,4.8291,4.8473,115421.7764
2023-11-22,4.8433,6.2913,4.8344,6.1058,425344.2881
2023-11-23,6.1064,6.4388,6.0516,6.3271,270491.55429973
2023-11-24,6.3363,6.602,6.081,6.167,213860.17062684
2023-11-25,6.1658,6.3154,6.0689,6.166,109182.34616503
2023-11-26,6.1658,6.21,5.8255,6.1779,130118.33220017
2023-11-27,6.1779,6.3694,5.9173,6.2934,210412.3704
2023-11-28,6.2954,6.5672,6.0745,6.1688,303084.5704
2023-11-29,6.1687,6.3812,5.9818,6.0089,188593.2685
2023-11-30,6.0105,6.0323,5.8493,5.959,209643.9527
2023-12-01,5.9617,6.1005,5.8933,6.0148,150553.74194177
2023-12-02,6.0156,6.1968,6.0053,6.1735,133787.2791
2023-12-03,6.1737,6.2481,5.9343,6.0644,126533.6326
2023-12-04,6.055,6.3043,5.8654,6.1024,324808.5394
2023-12-05,6.1067,6.3463,5.9765,6.2581,171530.1271965
2023-12-06,6.2603,6.2918,5.9414,6.0032,286090.4108
2023-12-07,5.9952,6.3474,5.9854,6.2914,163806.43809885
2023-12-08,6.2956,6.5491,6.26,6.5134,175831.50409828
2023-12-09,6.5146,7.1285,6.5118,6.8331,396896.7785
2023-12-10,6.843,6.8823,6.3874,6.6019,163337.0444
2023-12-11,6.6043,6.6143,5.8953,6.0988,358529.3186336
2023-12-12,6.0969,6.3394,6.0887,6.2293,85040.0155
2023-12-13,6.2284,6.3278,5.9423,6.2944,119453.19664655
2023-12-14,6.2996,6.4716,6.1,6.3617,109613.21871472
2023-12-15,6.3638,6.3647,5.9895,6.0333,77519.1722
2023-12-16,6.0316,6.2539,5.9325,6.1662,71443.8281
2023-12-17,6.1666,6.278,6.0506,6.0731,71232.6952
2023-12-18,6.0642,6.1155,5.5943,5.9451,130089.534
2023-12-19,5.9451,6.0366,5.7517,5.8352,82285.105
2023-12-20,5.8359,6.1065,5.7935,5.9285,74799.9814
2023-12-21,5.9299,6.2122,5.8619,6.1739,185698.47452883
